Ingredient,Rating,Description,Categories,Further information
"magnesium ascorbyl phosphate",Best,"Form of vitamin C that is considered stable and an effective antioxidant for skin (Sources:...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/magnesium-ascorbyl-phosphate
"magnesium carbonate",Good,"Inorganic mineral salt used as an absorbent, opacifying agent, coloring agent, or to adjust the pH...","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/magnesium-carbonate
"magnesium gluconate",Good,"Magnesium is an essential mineral the body uses to maintain circulatory and nervous system...","Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/magnesium-gluconate
"magnesium hydroxide",Good,"Active ingredient in milk of magnesia. It is an absorbent and has antibacterial properties for skin.","Absorbent, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/magnesium-hydroxide
"magnesium laureth sulfate",Good,"Mild detergent cleansing agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/magnesium-laureth-sulfate
"magnesium oleth sulfate",Good,"Mild detergent cleansing agent.","Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/surfactants-detergent-cleansing-agents/magnesium-oleth-sulfate
"magnesium stearate",Good,"Used as a thickening agent in cosmetics.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/magnesium-stearate
"magnesium sulfate",Good,"Commonly known as Epsom salt, a magnesium salt used as a thickening agent.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/magnesium-sulfate
"malic acid",Good,"See AHA","Leave-On Exfoliant",
"mallow",Best,"Can be used as a thickening agent in cosmetics and may have anti-inflammatory and soothing...","Anti-Irritants, Plant Extracts, Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/mallow
"Malva sylvestris extract",Good,"Extract from the blue mallow flower, it may have some anti-inflammatory and soothing properties for...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/malva-sylvestris-extract
"malvaceae extract",Average,"Extract from plants of the Malvaceae family, which includes over 1,000 species, found in tropical...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/malvaceae-extract
"mandarin orange oil or extract",Poor,"Primarily used as a fragrance; it can be a skin irritant. There is no research showing it has any...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/mandarin-orange-oil-or-extract
"mandelic acid",Average,"Alpha hydroxy acid, also known as amygdalic acid. There is scant research showing this to be an...","Leave-On Exfoliant",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/leave-on-exfoliant/mandelic-acid
"manganese gluconate",Average,"Mineral found in trace amounts in tissues of the body. While manganese plays a vital role in the...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/manganese-gluconate
"manganese violet",Good,"Coloring agent/additive permanently listed (as of 1976) by the FDA for use in cosmetic products,...","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/manganese-violet
"Mangifera indica (mango) seed butter",Best,"More commonly known as mango butter, this ingredient is a very good plant-based...","Plant Extracts, Emollients, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/mangifera-indica-seed-mango-butter
"Mangifera indica root",Good,"Extract derived from the mango tree; it can have antioxidant properties (Source: Journal of...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/mangifera-indica-root
"manuka oil",Good,"Extract derived from the New Zealand tea tree; the oil is similar to that of the Australian tea...","Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/manuka-oil
"marigold",Good,"See calendula extract","Anti-Irritants, Antioxidants, Plant Extracts, Antibacterial/Anti-Acne",
"marionberry",Good,"Fruit that has potent antioxidant properties (Source: Journal of Agricultural Food Chemistry, June...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/marionberry
"marjoram",Poor,"Herb with a fragrant component used in cosmetics; can be a skin irritant.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/marjoram
"marshmallow",Best,"See mallow","Anti-Irritants, Plant Extracts, Thickeners/Emulsifiers",
"Mastocarpus stellatus",Good,"See algae","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
"mate extract",Best,"See yerba mate extract","Anti-Irritants, Antioxidants, Plant Extracts",
"matricaria flower extract",Best,"See chamomile","Anti-Irritants, Antioxidants, Plant Extracts",
"matricaria oil",Best,"See chamomile","Antioxidants, Plant Extracts, Antibacterial/Anti-Acne",
"matrix metalloproteinases",Poor,"Also called MMPs, a group of 23 different enzymes that cause substances in the body to break down....","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/matrix-metalloproteinases
"MEA",Average,"Abbreviation for monoethanolamine.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/mea
"meadowfoam seed oil",Good,"Non-fragrant, edible plant oil originally developed as an agricultural crop in the 1950s. It...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/meadowfoam-seed-oil
"meadowsweet extract",Best,"Extract that can have anti-inflammatory properties (Source: Journal of Agricultural Food Chemistry,...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/meadowsweet-extract
"Medicago sativa",Best,"See alfalfa extract","Antioxidants, Plant Extracts",
"Melaleuca alternifolia",Good,"See tea tree oil","Plant Extracts, Antibacterial/Anti-Acne",
"Melaleuca cajeputi oil",Poor,"There is no research showing that this oil, which is derived from a plant in the same family as the...","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/melaleuca-cajeputi-oil
"melasma",Poor,"Melasma or chloasma are brownish discolorations of the face, hands, chest, and neck. Pregnancy is a...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/melasma
"Melia azadirachta",Poor,"See neem extract or oil","Antibacterial/Anti-Acne, Irritants",
"melibiose",Good,"Saccharide that can have good water-binding properties.","Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/skin-identical-ingredients/melibiose
"Melissa officinalis",Poor,"See balm mint extract , counter-irritant","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"Mentha arvensis",Poor,"See cornmint","Plant Extracts, Irritants",
"Mentha piperita",Poor,"See peppermint , counter-irritant","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne, Irritants",
"Mentha spicata",Poor,"See counter-irritant , spearmint oil","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"Mentha viridis",Poor,"See spearmint oil , counter-irritant","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",
"menthol",Poor,"Derived from peppermint; menthol can have the same irritating effect as peppermint on skin (Source:...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/menthol
"menthone",Poor,"Major constituent of peppermint.","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/menthone
"menthoxypropanediol",Poor,"Synthetic derivative of menthol. It is known to produce effects that are twice as strong as...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/menthoxypropanediol
"menthyl anthranilate",Best,"Also known as meradimate, this is a synthetic sunscreen active is a partially effective UVA...","Sunscreen Actives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/menthyl-anthranilate
"menthyl lactate",Poor,"Used as a cooling agent and fragrance in cosmetics. It is a derivative of menthol and is supposed...","Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/menthyl-lactate
"meradmiate",Best,"See menthyl anthranilate","Sunscreen Actives",
"methanol",Poor,"See alcohol","Irritants",
"methicone",Good,"One of the simpler silicones due to its less complex molecular structure.","Silicones, Slip Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/methicone
"methionine",Good,"See antioxidant , amino acid","Antioxidants, Skin-Identical/Repairing Ingredients",
"methyl gluceth-20",Good,"Liquid that functions as a water-binding and skin-conditioning agent.","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/methyl-gluceth-20
"methyl glucose sesquistearate",Good,"A mixure of the diesters of methyl glucoside and stearic acid. Functions as a skin-conditioning...","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/methyl-glucose-sesquistearate
"methyl trimethicone",Good,"See silicone","Silicones, Slip Agents, Emollients",
"methylchloroisothiazolinone",Poor,"In combination with methylisothiazolinone, it goes by the trade name Kathon CG (among others)....","Preservatives, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/methylchloroisothiazolinone
"methyldibromo glutaronitrile",Poor,"Formaldehyde-releasing preservative (Source: Contact Dermatitis, December 2000, pages 339–343).","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/methyldibromo-glutaronitrile
"methyldihydrojasmonate",Poor,"Synthetic fragrant component.","Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/methyldihydrojasmonate
"methyleugenol",Poor,"Natural constituent of plant oils such as those from rose, basil, blackberry, cinnamon, and anise....","Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/methyleugenol
"methylisothiazolinone",Poor,"Preservative that is generally recommended only for use in rinse-off products such as cleansers or...","Preservatives, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/methylisothiazolinone
"methylparaben",Good,"See parabens","Preservatives",
"methylpropanediol",Good,"Glycol that functions as a solvent. Methylpropanediol can enhance the penetration of ingredients...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/methylpropanediol
"methylsilanol mannuronate",Good,"See silicone","Silicones, Slip Agents, Emollients",
"methylsilanol PEG-7 glyceryl cocoate",Good,"A glyceryl ester used as an emollient and thickening agent in cosmetics.","Silicones, Slip Agents, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/silicones/methylsilanol-peg-7-glyceryl-cocoate
"methylsufonylsulfate",Good,"See antioxidant","Antioxidants",
"methylsulfonylmethane",Average,"Also known as MSM. There is no published research to back up claims made about any benefit this...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/methylsulfonylmethane
"Mexoryl SX",Best,"Also called ecamsule (technical name terephthalylidine dicamphor sulfonic acid), Mexoryl SX is a...","Sunscreen Actives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/mexoryl-sx
"mica",Good,"Earth mineral included in products to give them sparkle and shine.","Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/mica
"microcrystalline wax",Good,"Plastic-type, highly refined wax derived from petroleum. Used as a thickener and to give products a...","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/microcrystalline-wax
